generation,rmse,Q_0,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,R_odom_0,R_odom_1,R_odom_2,R_odom_3,R_imu_0,R_imu_1,R_imu_2,R_imu_3
0,0.2249,458.3839,20.0127,269.4017,484.3501,310.8388,49.9446,420.2189,354.7675,437.3672,211.3157,56.3467,144.9649,322.8136,307.6417,22.127,497.3066
0,0.2307,251.7555,20.5859,230.3532,357.9228,376.3811,10.0911,227.5303,92.1189,359.003,73.0907,178.7776,35.7178,249.7713,328.3001,46.7278,139.6837
0,0.2373,400.3546,168.1793,289.8278,250.5087,309.103,196.6778,491.1278,28.4974,98.4709,119.297,356.8626,267.0349,432.5283,154.1778,334.0109,31.1176
0,0.3589,493.2945,453.0493,199.6069,464.6516,265.5036,464.2368,186.406,160.3767,484.1253,296.6613,30.7489,72.5412,191.9636,335.7335,302.9256,81.9481
0,0.2655,455.3446,111.4648,125.8112,155.0077,233.7061,79.7283,473.1712,406.726,393.0156,481.3672,170.9469,220.7479,352.8104,80.7316,276.3856,393.6129
0,0.2372,490.0658,435.9788,232.3556,144.6644,418.9049,32.5931,276.4299,428.363,89.3984,86.6427,151.6192,262.7209,265.2904,312.6809,28.6803,345.8026
0,0.2249,93.0247,344.8156,467.8097,359.803,74.7787,365.4392,420.7283,255.7068,329.4128,164.0576,454.7127,348.9977,13.2063,399.0768,255.9992,495.9364
0,0.2497,452.3634,303.2413,347.339,404.19,97.4652,399.7828,118.8908,446.8288,363.7026,296.4622,90.0664,166.3553,253.0557,206.7409,9.1452,483.5971
0,0.2385,440.0905,43.7605,401.4078,411.2233,307.4737,434.3148,132.5433,14.1329,368.506,14.3245,307.5638,388.6486,7.0046,200.1979,54.6205,151.6892
0,0.229,366.0101,344.4215,120.88,437.7373,80.5605,471.4517,175.7174,213.4059,82.6834,212.3649,296.3027,131.8962,348.9274,150.788,84.7585,278.0303
0,0.2558,22.3864,213.0562,182.9616,360.4323,357.9288,30.9855,482.9864,336.0631,224.4273,126.3251,205.0298,348.6843,33.5404,445.8055,280.8443,421.4503
0,0.2255,107.2871,178.5758,201.7189,459.1381,76.5642,210.5308,58.1098,293.7317,3.0878,230.9022,352.0901,185.9772,106.5421,456.994,210.0098,48.4619
0,0.2322,264.1954,173.7441,415.9982,275.4902,137.9877,250.436,240.2993,94.5023,415.4161,273.9801,368.7966,205.8455,298.0027,202.2803,298.1471,90.9887
0,0.2337,74.1139,481.6496,427.33,219.4163,307.1931,216.9102,333.9702,281.2515,83.2937,120.0938,396.0751,257.1373,140.4133,311.9646,334.9432,405.3579
0,0.2318,498.9279,399.4607,413.5281,115.5313,312.3404,486.8781,493.0604,246.5686,428.3171,258.1551,335.2611,425.4562,54.452,129.1665,82.4654,348.0619
0,0.2418,484.7763,343.6713,170.5268,311.8089,404.8612,408.9876,11.5214,236.0199,163.1052,369.5987,321.8023,476.6175,361.703,316.2257,48.7159,383.1443
0,0.2419,409.8444,235.6036,388.8062,453.4336,395.6748,314.5334,429.0762,94.0223,313.8266,143.9582,118.5066,53.7361,82.9703,187.5494,17.9506,145.108
0,0.3281,425.497,159.0833,494.5472,204.2876,285.142,337.2693,205.6117,282.6258,402.2701,409.0924,95.898,390.4588,490.1458,394.0589,443.5083,420.5801
0,0.2604,428.3399,170.1412,47.1386,264.8274,200.8937,211.8757,389.2792,105.9237,404.8467,265.3279,329.4644,141.0426,318.8382,132.3065,488.8834,415.7025
0,0.2262,130.3898,279.1185,244.5209,233.2438,466.5906,166.2471,330.298,367.1001,432.8829,282.5452,497.5162,35.7345,284.5428,133.0159,309.2229,284.8306
1,0.2249,458.3839,20.0127,269.4017,484.3501,310.8388,49.9446,420.2189,354.7675,437.3672,211.3157,56.3467,144.9649,322.8136,307.6417,22.127,497.3066
1,0.2407,490.0658,435.9788,230.3532,357.9228,376.3811,32.5931,276.4299,428.363,89.3984,73.0907,178.7776,262.7209,249.7713,312.6809,28.6803,345.8026
1,0.2549,425.497,170.1412,47.1386,264.8274,285.142,211.8757,389.2792,105.9237,402.2701,265.3279,329.4644,141.0426,490.1458,394.0589,443.5083,420.5801
1,0.2372,452.3634,303.2413,347.339,144.6644,418.9049,399.7828,118.8908,446.8288,363.7026,86.6427,151.6192,262.7209,265.2904,312.6809,28.6803,483.5971
1,0.229,130.3898,344.4215,244.5209,437.7373,466.5906,471.4517,330.298,213.4059,82.6834,212.3649,296.3027,131.8962,284.5428,150.788,84.7585,278.0303
1,0.3401,74.1139,481.6496,269.4017,219.4163,310.8388,216.9102,333.9702,281.2515,437.3672,211.3157,56.3467,144.9649,322.8136,307.6417,334.9432,497.3066
1,0.2669,452.3634,303.2413,467.8097,404.19,97.4652,399.7828,118.8908,446.8288,363.7026,164.0576,454.7127,348.9977,253.0557,206.7409,9.1452,483.5971
1,0.2256,428.3399,170.1412,201.7189,264.8274,76.5642,210.5308,58.1098,293.7317,404.8467,230.9022,352.0901,185.9772,318.8382,456.994,210.0098,415.7025
1,0.2373,400.3546,168.1793,199.6069,250.5087,309.103,464.2368,491.1278,160.3767,98.4709,119.297,356.8626,72.5412,432.5283,335.7335,334.0109,31.1176
1,0.2395,26.7568,202.22,386.026,320.1553,362.2214,301.343,486.7846,309.997,206.614,135.2143,104.2388,57.387,31.8639,204.5752,17.7264,433.7517
1,0.2284,493.2945,303.2413,199.6069,464.6516,265.5036,399.7828,186.406,446.8288,363.7026,296.6613,30.7489,72.5412,253.0557,335.7335,9.1452,483.5971
1,0.2577,264.1954,20.0127,415.9982,275.4902,137.9877,250.436,420.2189,354.7675,415.4161,273.9801,368.7966,144.9649,298.0027,307.6417,22.127,90.9887
1,0.2786,493.2945,435.9788,232.3556,464.6516,265.5036,32.5931,276.4299,160.3767,89.3984,296.6613,151.6192,72.5412,191.9636,312.6809,302.9256,81.9481
1,0.2291,366.0101,170.1412,47.1386,264.8274,80.5605,211.8757,389.2792,105.9237,404.8467,265.3279,296.3027,131.8962,318.8382,150.788,84.7585,278.0303
1,0.2283,73.9562,411.3335,159.1109,249.5671,266.8592,209.073,264.739,149.9641,471.7192,297.1286,404.1461,55.2673,177.1414,347.2146,281.3608,416.1998
1,0.3004,74.1139,235.6036,388.8062,219.4163,307.1931,216.9102,333.9702,281.2515,83.2937,143.9582,118.5066,53.7361,140.4133,187.5494,334.9432,405.3579
1,0.2604,428.3399,173.7441,415.9982,264.8274,200.8937,211.8757,389.2792,94.5023,415.4161,265.3279,329.4644,141.0426,298.0027,132.3065,488.8834,90.9887
1,0.2985,487.7673,165.8994,187.1657,161.8703,296.8207,300.5635,178.608,274.4884,420.2285,487.152,96.1737,382.609,438.1062,378.7116,264.0821,384.2768
1,0.3347,458.3839,173.7441,269.4017,275.4902,310.8388,250.436,420.2189,354.7675,415.4161,273.9801,56.3467,144.9649,322.8136,307.6417,298.1471,90.9887
1,0.2318,112.5123,273.9839,262.8291,277.8209,352.285,166.9478,595.3184,25.9843,97.3234,291.5294,396.0067,276.5825,387.6594,106.6083,316.1893,36.1221
2,0.2249,458.3839,20.0127,269.4017,484.3501,310.8388,49.9446,420.2189,354.7675,437.3672,211.3157,56.3467,144.9649,322.8136,307.6417,22.127,497.3066
2,0.2324,26.7568,202.22,386.026,320.1553,466.5906,471.4517,330.298,213.4059,206.614,135.2143,104.2388,57.387,31.8639,204.5752,84.7585,433.7517
2,0.2283,73.9562,411.3335,269.4017,219.4163,310.8388,209.073,333.9702,149.9641,471.7192,211.3157,404.1461,55.2673,177.1414,347.2146,281.3608,416.1998
2,0.2374,366.0101,168.1793,199.6069,250.5087,80.5605,464.2368,491.1278,160.3767,404.8467,119.297,356.8626,72.5412,318.8382,150.788,334.0109,278.0303
2,0.2291,366.0101,170.1412,269.4017,484.3501,80.5605,211.8757,389.2792,354.7675,437.3672,265.3279,296.3027,144.9649,322.8136,307.6417,84.7585,497.3066
2,0.2314,73.9562,411.3335,159.1109,250.5087,309.103,464.2368,491.1278,149.9641,471.7192,119.297,356.8626,55.2673,432.5283,335.7335,281.3608,31.1176
2,0.2505,130.3898,344.4215,244.5209,357.9228,376.3811,471.4517,330.298,213.4059,82.6834,73.0907,296.3027,131.8962,284.5428,312.6809,28.6803,278.0303
2,0.2343,345.718,163.4527,48.0469,286.5216,79.6362,192.6457,403.1478,302.5132,440.191,227.4439,105.0365,69.3643,306.2209,216.5375,90.4686,278.0251
2,0.2284,425.497,170.1412,47.1386,264.8274,265.5036,399.7828,186.406,446.8288,363.7026,296.6613,30.7489,141.0426,490.1458,335.7335,9.1452,420.5801
2,0.2375,400.3546,168.1793,269.4017,250.5087,310.8388,216.9102,491.1278,281.2515,98.4709,119.297,356.8626,72.5412,322.8136,335.7335,334.9432,497.3066
2,0.2289,141.7641,242.0636,206.489,272.1699,367.2414,167.2543,593.4474,24.8001,91.5227,241.7067,388.131,328.1702,496.3166,124.4678,278.604,40.6998
2,0.2655,493.2945,170.1412,199.6069,464.6516,76.5642,399.7828,58.1098,446.8288,363.7026,230.9022,352.0901,72.5412,318.8382,335.7335,9.1452,483.5971
2,0.3401,74.1139,481.6496,269.4017,219.4163,310.8388,216.9102,333.9702,281.2515,437.3672,211.3157,56.3467,144.9649,322.8136,307.6417,334.9432,497.3066
2,0.2669,452.3634,303.2413,467.8097,404.19,97.4652,399.7828,118.8908,446.8288,363.7026,164.0576,454.7127,348.9977,253.0557,206.7409,9.1452,483.5971
2,0.3024,487.7673,411.3335,187.1657,161.8703,296.8207,209.073,178.608,149.9641,420.2285,297.1286,96.1737,382.609,438.1062,378.7116,281.3608,384.2768
2,0.2265,69.9351,410.7689,52.923,234.3836,91.6494,219.1491,440.2733,112.4818,512.9653,298.925,249.1008,57.7413,164.0602,147.324,84.2706,463.2472
2,0.2549,112.5123,273.9839,47.1386,264.8274,285.142,166.9478,389.2792,25.9843,97.3234,291.5294,329.4644,141.0426,490.1458,394.0589,443.5083,420.5801
2,0.2443,425.497,170.1412,159.1109,249.5671,266.8592,211.8757,264.739,105.9237,402.2701,297.1286,404.1461,55.2673,177.1414,347.2146,443.5083,420.5801
2,0.2395,26.7568,481.6496,386.026,219.4163,310.8388,301.343,486.7846,309.997,437.3672,211.3157,104.2388,144.9649,31.8639,204.5752,17.7264,433.7517
2,0.2244,387.2629,138.8477,186.5515,273.8383,317.408,238.4047,59.0844,155.8933,99.0472,118.2485,401.4999,199.9246,437.5045,355.5038,214.5678,31.2948
3,0.2244,387.2629,138.8477,186.5515,273.8383,317.408,238.4047,59.0844,155.8933,99.0472,118.2485,401.4999,199.9246,437.5045,355.5038,214.5678,31.2948
3,0.2364,77.591,350.1905,169.8497,234.2915,333.8397,404.1611,448.7054,164.9116,478.2193,126.4744,319.7214,50.6133,448.8573,344.1427,292.1547,36.2808
3,0.2289,141.7641,242.0636,269.4017,484.3501,310.8388,167.2543,593.4474,24.8001,91.5227,241.7067,388.131,144.9649,496.3166,307.6417,278.604,40.6998
3,0.2344,73.9694,432.7218,178.5471,266.2752,87.2881,260.6092,431.4336,110.8739,522.0412,300.8888,254.5277,207.3137,482.4746,390.2115,220.0327,492.4467
3,0.3011,412.0212,452.494,43.9524,248.9234,298.5975,424.8399,174.7926,141.8379,491.3939,280.924,96.9263,144.3193,532.6508,342.9873,277.1591,388.5605
3,0.2284,60.9824,439.3303,45.4825,196.764,65.3739,202.1257,416.6239,142.1563,463.0526,205.5245,361.4618,52.9429,300.0662,211.65,253.0556,415.5035
3,0.2612,26.7568,481.6496,386.026,219.4163,310.8388,301.343,333.9702,149.9641,471.7192,211.3157,404.1461,144.9649,31.8639,347.2146,17.7264,433.7517
3,0.2457,487.7673,410.7689,187.1657,161.8703,296.8207,209.073,440.2733,149.9641,512.9653,298.925,249.1008,57.7413,164.0602,147.324,281.3608,384.2768
3,0.2548,112.5123,273.9839,47.1386,264.8274,317.408,238.4047,389.2792,155.8933,99.0472,291.5294,329.4644,141.0426,437.5045,355.5038,443.5083,31.2948
3,0.3128,487.7673,481.6496,187.1657,161.8703,296.8207,209.073,333.9702,281.2515,437.3672,211.3157,96.1737,382.609,438.1062,378.7116,334.9432,384.2768
3,0.3472,76.1292,194.616,204.465,474.8991,76.2459,379.1882,64.3168,281.2225,469.4876,238.8692,55.8151,70.9658,337.846,305.1715,393.6225,526.2708
3,0.2661,141.7641,170.1412,206.489,264.8274,367.2414,399.7828,186.406,446.8288,363.7026,296.6613,388.131,328.1702,496.3166,335.7335,9.1452,420.5801
3,0.2283,425.497,170.1412,269.4017,219.4163,310.8388,211.8757,333.9702,149.9641,402.2701,211.3157,404.1461,55.2673,177.1414,347.2146,281.3608,420.5801
3,0.2375,366.0101,170.1412,269.4017,484.3501,80.5605,211.8757,491.1278,354.7675,98.4709,119.297,356.8626,72.5412,322.8136,335.7335,334.9432,497.3066
3,0.3178,387.2629,20.0127,269.4017,273.8383,317.408,238.4047,59.0844,155.8933,99.0472,118.2485,56.3467,199.9246,322.8136,355.5038,214.5678,497.3066
3,0.2536,130.3898,344.4215,199.6069,357.9228,80.5605,464.2368,491.1278,213.4059,82.6834,119.297,356.8626,131.8962,318.8382,150.788,28.6803,278.0303
3,0.2395,74.1139,481.6496,269.4017,219.4163,310.8388,216.9102,333.9702,309.997,437.3672,211.3157,104.2388,144.9649,322.8136,204.5752,17.7264,433.7517
3,0.2374,487.7673,168.1793,187.1657,161.8703,296.8207,209.073,491.1278,160.3767,404.8467,297.1286,356.8626,72.5412,318.8382,150.788,334.0109,278.0303
3,0.2345,76.9687,501.668,308.9159,253.1664,299.8406,225.2981,251.5475,274.3336,472.1005,215.6555,371.2946,149.8303,361.6349,399.9963,321.6137,435.063
3,0.2985,425.497,170.1412,47.1386,234.3836,91.6494,219.1491,186.406,112.4818,512.9653,298.925,30.7489,141.0426,490.1458,335.7335,84.2706,420.5801
4,0.2244,387.2629,138.8477,186.5515,273.8383,317.408,238.4047,59.0844,155.8933,99.0472,118.2485,401.4999,199.9246,437.5045,355.5038,214.5678,31.2948
4,0.2339,80.4416,445.0637,300.015,202.8277,299.9697,248.5628,248.5556,284.326,530.8155,207.0512,373.3514,148.8925,575.8045,329.9121,318.32,429.7704
4,0.2283,141.7641,170.1412,206.489,219.4163,310.8388,211.8757,186.406,149.9641,363.7026,211.3157,404.1461,55.2673,177.1414,347.2146,281.3608,420.5801
4,0.2536,487.7673,168.1793,199.6069,161.8703,296.8207,209.073,491.1278,160.3767,82.6834,119.297,356.8626,131.8962,318.8382,150.788,28.6803,278.0303
4,0.2274,112.5123,432.7218,178.5471,264.8274,87.2881,260.6092,431.4336,110.8739,99.0472,300.8888,329.4644,141.0426,437.5045,390.2115,220.0327,31.2948
4,0.2752,82.0777,149.8195,254.1524,226.5391,337.353,225.346,347.6336,313.3545,89.1717,115.922,115.6867,231.1213,332.5919,345.9908,218.7672,33.6373
4,0.226,130.3898,432.7218,199.6069,357.9228,87.2881,260.6092,491.1278,110.8739,82.6834,300.8888,356.8626,131.8962,318.8382,390.2115,220.0327,492.4467
4,0.2375,366.0101,170.1412,269.4017,357.9228,80.5605,464.2368,491.1278,354.7675,82.6834,119.297,356.8626,72.5412,318.8382,150.788,334.9432,497.3066
4,0.3011,366.0101,452.494,269.4017,248.9234,80.5605,211.8757,491.1278,354.7675,98.4709,280.924,96.9263,72.5412,322.8136,335.7335,277.1591,388.5605
4,0.2374,487.7673,432.7218,178.5471,266.2752,87.2881,209.073,491.1278,160.3767,404.8467,300.8888,356.8626,207.3137,318.8382,150.788,334.0109,278.0303
4,0.2661,141.7641,20.0127,206.489,273.8383,317.408,399.7828,59.0844,155.8933,99.0472,296.6613,388.131,199.9246,322.8136,335.7335,9.1452,497.3066
4,0.2332,328.6354,394.5973,198.1487,537.1606,289.0379,214.789,498.9839,163.8185,519.086,254.5045,377.9492,74.0414,288.5639,377.5286,315.3526,489.52
4,0.3087,437.3315,381.7157,45.2219,224.451,276.6003,452.4517,457.348,184.3985,464.8299,269.6518,98.237,49.4973,429.031,349.6094,319.2088,380.6969
4,0.2548,141.7641,242.0636,199.6069,357.9228,310.8388,167.2543,491.1278,213.4059,91.5227,241.7067,388.131,131.8962,496.3166,150.788,28.6803,278.0303
4,0.2375,487.7673,481.6496,269.4017,161.8703,296.8207,209.073,491.1278,281.2515,98.4709,211.3157,356.8626,382.609,322.8136,335.7335,334.9432,384.2768
4,0.2375,366.0101,170.1412,269.4017,484.3501,367.2414,399.7828,186.406,446.8288,98.4709,119.297,356.8626,328.1702,322.8136,335.7335,334.9432,497.3066
4,0.2283,425.497,410.7689,269.4017,161.8703,296.8207,211.8757,440.2733,149.9641,402.2701,211.3157,404.1461,55.2673,177.1414,147.324,281.3608,384.2768
4,0.2364,77.591,350.1905,169.8497,234.2915,333.8397,404.1611,448.7054,354.7675,478.2193,126.4744,319.7214,72.5412,448.8573,344.1427,292.1547,36.2808
4,0.2343,141.7641,481.6496,206.489,161.8703,296.8207,399.7828,333.9702,281.2515,437.3672,211.3157,388.131,382.609,438.1062,378.7116,334.9432,420.5801
4,0.3128,425.497,170.1412,187.1657,219.4163,296.8207,211.8757,333.9702,149.9641,437.3672,211.3157,96.1737,55.2673,438.1062,378.7116,334.9432,420.5801
5,0.2244,387.2629,138.8477,186.5515,273.8383,317.408,238.4047,59.0844,155.8933,99.0472,118.2485,401.4999,199.9246,437.5045,355.5038,214.5678,31.2948
5,0.2869,359.3118,461.4211,252.5639,287.327,78.5658,193.942,450.7246,370.2825,105.9918,319.1668,113.438,87.8925,365.4399,322.9364,258.391,389.5721
5,0.3011,366.0101,452.494,269.4017,248.9234,296.8207,211.8757,491.1278,149.9641,98.4709,211.3157,96.9263,55.2673,322.8136,378.7116,277.1591,420.5801
5,0.2554,141.7641,170.1412,199.6069,219.4163,310.8388,211.8757,491.1278,149.9641,363.7026,211.3157,404.1461,131.8962,496.3166,347.2146,28.6803,420.5801
5,0.2374,112.5123,432.7218,178.5471,266.2752,87.2881,260.6092,431.4336,160.3767,99.0472,300.8888,356.8626,141.0426,318.8382,390.2115,334.0109,278.0303
5,0.2296,131.2645,485.7594,212.7895,143.2097,341.2505,354.5572,297.6293,247.5721,472.346,227.5896,502.8266,401.9917,452.5467,393.5797,370.705,367.652
5,0.225,387.2629,394.5973,186.5515,537.1606,289.0379,238.4047,498.9839,163.8185,99.0472,254.5045,377.9492,199.9246,288.5639,377.5286,214.5678,31.2948
5,0.2523,487.7673,432.7218,199.6069,264.8274,296.8207,209.073,431.4336,160.3767,99.0472,300.8888,329.4644,131.8962,318.8382,150.788,28.6803,31.2948
5,0.2353,328.6354,394.5973,269.4017,537.1606,80.5605,464.2368,491.1278,354.7675,519.086,119.297,377.9492,74.0414,318.8382,150.788,334.9432,489.52
5,0.2375,141.7641,170.1412,206.489,161.8703,310.8388,211.8757,491.1278,281.2515,98.4709,211.3157,356.8626,382.609,322.8136,335.7335,334.9432,384.2768
5,0.2671,133.7646,440.2261,170.8933,231.2162,294.9669,457.1365,526.5412,127.5911,113.2833,284.6697,463.5937,229.4276,325.1768,263.4427,9.0726,466.6979
5,0.2288,366.0101,20.0127,269.4017,248.9234,317.408,211.8757,59.0844,354.7675,98.4709,280.924,388.131,72.5412,322.8136,335.7335,277.1591,497.3066
5,0.2646,142.8123,410.5395,187.176,168.1042,343.2253,456.5425,53.7119,173.6121,487.0911,315.5724,313.1304,221.7729,383.245,381.2896,9.2971,468.8588
5,0.2339,77.591,445.0637,300.015,234.2915,299.9697,404.1611,448.7054,284.326,530.8155,207.0512,373.3514,72.5412,448.8573,329.9121,318.32,36.2808
5,0.3123,366.0101,452.494,269.4017,248.9234,80.5605,464.2368,491.1278,354.7675,82.6834,280.924,96.9263,72.5412,318.8382,335.7335,334.9432,497.3066
5,0.2547,360.6257,267.4334,189.8479,278.0299,271.0021,171.5435,528.4188,154.1232,108.5775,121.3364,458.0925,191.1514,451.2854,118.0022,34.123,31.8232
5,0.3205,478.4696,182.7201,58.4538,563.5748,222.1414,380.4084,372.3755,499.6703,509.4171,258.9974,82.8908,39.7069,292.224,382.9293,331.1243,370.1204
5,0.2283,387.2629,138.8477,186.5515,273.8383,310.8388,211.8757,186.406,149.9641,99.0472,211.3157,404.1461,55.2673,437.5045,347.2146,281.3608,420.5801
5,0.3128,366.0101,170.1412,187.1657,219.4163,296.8207,211.8757,186.406,446.8288,98.4709,119.297,96.1737,55.2673,322.8136,378.7116,334.9432,497.3066
5,0.3128,425.497,170.1412,187.1657,357.9228,87.2881,211.8757,333.9702,110.8739,82.6834,211.3157,96.1737,55.2673,318.8382,378.7116,334.9432,420.5801
6,0.2244,387.2629,138.8477,186.5515,273.8383,317.408,238.4047,59.0844,155.8933,99.0472,118.2485,401.4999,199.9246,437.5045,355.5038,214.5678,31.2948
6,0.3123,366.0101,267.4334,269.4017,248.9234,271.0021,171.5435,528.4188,354.7675,108.5775,280.924,96.9263,191.1514,318.8382,335.7335,334.9432,497.3066
6,0.2245,387.2629,182.7201,58.4538,563.5748,222.1414,380.4084,372.3755,499.6703,509.4171,258.9974,401.4999,199.9246,437.5045,382.9293,214.5678,31.2948
6,0.2282,324.0123,292.7035,202.5753,331.882,308.5119,151.2497,579.8402,151.5659,100.7387,129.3408,452.8966,183.6607,314.7435,414.0713,314.946,447.5204
6,0.323,366.2478,479.9304,170.9417,243.3951,265.6949,378.3102,188.3235,425.2532,109.5535,235.3944,90.601,78.4846,401.0154,306.2267,379.2447,450.3091
6,0.3011,425.497,452.494,269.4017,248.9234,296.8207,211.8757,491.1278,110.8739,82.6834,211.3157,96.9263,55.2673,322.8136,378.7116,277.1591,420.5801
6,0.2856,366.0101,138.8477,186.5515,273.8383,296.8207,211.8757,59.0844,446.8288,98.4709,118.2485,96.1737,55.2673,437.5045,378.7116,214.5678,497.3066
6,0.232,82.4636,144.5736,216.1553,140.8604,340.8185,445.0829,607.7058,334.2093,96.6229,209.6928,349.5866,336.2485,344.542,394.937,280.8723,29.7218
