x y theta v w
4 0 1.57705 0.499993 0.0624944
3.99969 0.0499983 1.5833 0.499976 0.0937442
3.99875 0.0999875 1.5958 0.499963 0.124992
3.99719 0.14996 1.6083 0.499949 0.124989
3.995 0.199907 1.62079 0.499936 0.124986
3.99219 0.249822 1.63329 0.499923 0.124982
3.98876 0.299697 1.64579 0.49991 0.124979
3.9847 0.349523 1.65829 0.499898 0.124976
3.98002 0.399294 1.67079 0.499886 0.124973
3.97472 0.449001 1.68328 0.499873 0.124969
3.9688 0.498636 1.69578 0.499862 0.124966
3.96226 0.548193 1.70828 0.49985 0.124963
3.9551 0.597663 1.72078 0.499838 0.12496
3.94732 0.647039 1.73327 0.499827 0.124958
3.93893 0.696312 1.74577 0.499816 0.124955
3.92992 0.745476 1.75826 0.499805 0.124952
3.9203 0.794522 1.77076 0.499795 0.124949
3.91006 0.843443 1.78325 0.499784 0.124947
3.89922 0.892231 1.79575 0.499774 0.124944
3.88777 0.940879 1.80824 0.499764 0.124942
3.87571 0.98938 1.82074 0.499755 0.124939
3.86305 1.03772 1.83323 0.499745 0.124937
3.84978 1.08591 1.84573 0.499736 0.124934
3.83591 1.13392 1.85822 0.499727 0.124932
3.82145 1.18175 1.87071 0.499718 0.12493
3.80638 1.2294 1.88321 0.49971 0.124928
3.79073 1.27686 1.8957 0.499701 0.124925
3.77448 1.32411 1.90819 0.499693 0.124923
3.75765 1.37116 1.92068 0.499685 0.124921
3.74022 1.41799 1.93318 0.499678 0.124919
3.72222 1.46461 1.94567 0.49967 0.124917
3.70363 1.51099 1.95816 0.499663 0.124915
3.68447 1.55713 1.97065 0.499656 0.124914
3.66473 1.60304 1.98314 0.499649 0.124912
3.64442 1.64869 1.99564 0.499642 0.12491
3.62354 1.69408 2.00813 0.499636 0.124909
3.6021 1.73921 2.02062 0.49963 0.124907
3.58009 1.78407 2.03311 0.499624 0.124906
3.55753 1.82865 2.0456 0.499618 0.124904
3.53441 1.87294 2.05809 0.499613 0.124903
3.51074 1.91694 2.07058 0.499608 0.124901
3.48653 1.96064 2.08307 0.499603 0.1249
3.46177 2.00403 2.09556 0.499598 0.124899
3.43647 2.04711 2.10805 0.499593 0.124898
3.41063 2.08987 2.12054 0.499589 0.124896
3.38426 2.13231 2.13303 0.499585 0.124895
3.35737 2.17441 2.14552 0.499581 0.124894
3.32995 2.21617 2.15801 0.499577 0.124893
3.30201 2.25759 2.1705 0.499574 0.124893
3.27356 2.29865 2.18299 0.49957 0.124892
3.24459 2.33936 2.19548 0.499567 0.124891
3.21512 2.3797 2.20797 0.499564 0.12489
3.18515 2.41966 2.22046 0.499562 0.12489
3.15468 2.45926 2.23295 0.499559 0.124889
3.12372 2.49846 2.24544 0.499557 0.124888
3.09228 2.53728 2.25793 0.499555 0.124888
3.06035 2.5757 2.27041 0.499554 0.124887
3.02794 2.61372 2.2829 0.499552 0.124887
2.99506 2.65133 2.29539 0.499551 0.124887
2.96172 2.68853 2.30788 0.49955 0.124886
2.92791 2.72531 2.32037 0.499549 0.124886
2.89365 2.76166 2.33286 0.499548 0.124886
2.85893 2.79758 2.34535 0.499548 0.124886
2.82377 2.83307 2.35784 0.499548 0.124886
2.78817 2.86811 2.37033 0.499548 0.124886
2.75213 2.90271 2.38282 0.499548 0.124886
2.71567 2.93686 2.3953 0.499549 0.124886
2.67878 2.97054 2.40779 0.49955 0.124886
2.64147 3.00377 2.42028 0.499551 0.124887
2.60375 3.03652 2.43277 0.499552 0.124887
2.56563 3.0688 2.44526 0.499553 0.124887
2.5271 3.1006 2.45775 0.499555 0.124888
2.48818 3.13192 2.47024 0.499557 0.124888
2.44887 3.16275 2.48273 0.499559 0.124889
2.40918 3.19309 2.49522 0.499561 0.124889
2.36911 3.22293 2.50771 0.499564 0.12489
2.32868 3.25227 2.52019 0.499566 0.12489
2.28788 3.2811 2.53268 0.499569 0.124891
2.24672 3.30941 2.54517 0.499572 0.124892
2.20521 3.33722 2.55766 0.499576 0.124893
2.16336 3.3645 2.57015 0.499579 0.124894
2.12117 3.39126 2.58264 0.499583 0.124895
2.07865 3.41748 2.59513 0.499587 0.124896
2.03581 3.44318 2.60762 0.499592 0.124897
1.99264 3.46834 2.62011 0.499596 0.124898
1.94917 3.49296 2.6326 0.499601 0.124899
1.90539 3.51703 2.64509 0.499606 0.1249
1.86131 3.54055 2.65758 0.499611 0.124902
1.81694 3.56353 2.67007 0.499616 0.124903
1.77229 3.58594 2.68256 0.499622 0.124905
1.72736 3.6078 2.69506 0.499628 0.124906
1.68216 3.62909 2.70755 0.499634 0.124908
1.6367 3.64982 2.72004 0.49964 0.124909
1.59098 3.66998 2.73253 0.499647 0.124911
1.54502 3.68957 2.74502 0.499654 0.124913
1.49881 3.70858 2.75751 0.499661 0.124914
1.45237 3.72702 2.77 0.499668 0.124916
1.4057 3.74487 2.7825 0.499675 0.124918
1.35881 3.76214 2.79499 0.499683 0.12492
1.3117 3.77882 2.80748 0.499691 0.124922
1.26439 3.79491 2.81997 0.499699 0.124924
1.21689 3.81041 2.83247 0.499707 0.124926
1.16919 3.82531 2.84496 0.499715 0.124928
1.12131 3.83962 2.85745 0.499724 0.124931
1.07325 3.85333 2.86995 0.499733 0.124933
1.02503 3.86644 2.88244 0.499742 0.124935
0.976642 3.87894 2.89493 0.499752 0.124937
0.928103 3.89084 2.90743 0.499761 0.12494
0.879417 3.90214 2.91992 0.499771 0.124942
0.830594 3.91282 2.93242 0.499781 0.124945
0.78164 3.92289 2.94491 0.499792 0.124948
0.732563 3.93235 2.95741 0.499802 0.12495
0.68337 3.9412 2.9699 0.499813 0.124953
0.63407 3.94943 2.9824 0.499824 0.124956
0.58467 3.95705 2.99489 0.499835 0.124959
0.535177 3.96404 3.00739 0.499846 0.124962
0.485599 3.97042 3.01989 0.499858 0.124964
0.435945 3.97618 3.03238 0.49987 0.124968
0.386221 3.98132 3.04488 0.499882 0.124971
0.336436 3.98583 3.05738 0.499894 0.124974
0.286596 3.98973 3.06988 0.499907 0.124977
0.236711 3.993 3.08238 0.499919 0.12498
0.186788 3.99564 3.09487 0.499932 0.124983
0.136834 3.99767 3.10737 0.499945 0.124987
0.0868573 3.99907 3.11987 0.499959 0.12499
0.0368658 3.99984 3.13237 0.499972 0.124994
-0.0131329 3.99999 3.14487 0.499986 0.124997
-0.0631309 3.99951 3.15737 0.5 0.125001
-0.113121 3.99841 3.16987 0.500014 0.125004
-0.163094 3.99668 3.18237 0.500029 0.125008
-0.213043 3.99433 3.19487 0.500044 0.125012
-0.262961 3.99136 3.20738 0.500059 0.125016
-0.312839 3.98776 3.21988 0.500074 0.125019
-0.362669 3.98354 3.23238 0.500089 0.125023
-0.412444 3.97869 3.24488 0.500105 0.125027
-0.462157 3.97322 3.25739 0.50012 0.125031
-0.511799 3.96713 3.26989 0.500137 0.125035
-0.561362 3.96043 3.28239 0.500153 0.12504
-0.610839 3.9531 3.2949 0.500169 0.125044
-0.660223 3.94515 3.3074 0.500186 0.125048
-0.709505 3.93659 3.31991 0.500203 0.125052
-0.758677 3.9274 3.33241 0.50022 0.125057
-0.807733 3.91761 3.34492 0.500237 0.125061
-0.856664 3.9072 3.35743 0.500255 0.125065
-0.905462 3.89618 3.36993 0.500273 0.12507
-0.954121 3.88455 3.38244 0.500291 0.125075
-1.00263 3.87232 3.39495 0.500309 0.125079
-1.05099 3.85947 3.40746 0.500327 0.125084
-1.09918 3.84602 3.41997 0.500346 0.125089
-1.14721 3.83197 3.43248 0.500365 0.125093
-1.19505 3.81732 3.44499 0.500384 0.125098
-1.24271 3.80208 3.4575 0.500403 0.125103
-1.29018 3.78623 3.47001 0.500423 0.125108
-1.33745 3.76979 3.48252 0.500443 0.125113
-1.38451 3.75277 3.49503 0.500463 0.125118
-1.43135 3.73515 3.50754 0.500483 0.125123
-1.47798 3.71695 3.52006 0.500503 0.125129
-1.52437 3.69816 3.53257 0.500524 0.125134
-1.57053 3.6788 3.54508 0.500545 0.125139
-1.61644 3.65886 3.5576 0.500566 0.125145
-1.6621 3.63834 3.57011 0.500587 0.12515
-1.7075 3.61725 3.58263 0.500609 0.125155
-1.75264 3.5956 3.59515 0.50063 0.125161
-1.79751 3.57338 3.60766 0.500652 0.125167
-1.84209 3.5506 3.62018 0.500675 0.125172
-1.88639 3.52727 3.6327 0.500697 0.125178
-1.9304 3.50338 3.64522 0.50072 0.125184
-1.9741 3.47894 3.65773 0.500742 0.125189
-2.0175 3.45395 3.67025 0.500766 0.125195
-2.06058 3.42842 3.68277 0.500789 0.125201
-2.10334 3.40236 3.6953 0.500812 0.125207
-2.14578 3.37575 3.70782 0.500836 0.125213
-2.18788 3.34862 3.72034 0.50086 0.125219
-2.22964 3.32096 3.73286 0.500884 0.125225
-2.27105 3.29278 3.74538 0.500908 0.125232
-2.31211 3.26408 3.75791 0.500933 0.125238
-2.3528 3.23487 3.77043 0.500958 0.125244
-2.39313 3.20515 3.78296 0.500983 0.125251
-2.43309 3.17492 3.79548 0.501008 0.125257
-2.47266 3.1442 3.80801 0.501034 0.125263
-2.51185 3.11298 3.82054 0.501059 0.12527
-2.55065 3.08127 3.83306 0.501085 0.125277
-2.58905 3.04907 3.84559 0.501111 0.125283
-2.62705 3.0164 3.85812 0.501138 0.12529
-2.66463 2.98325 3.87065 0.501164 0.125297
-2.7018 2.94963 3.88318 0.501191 0.125303
-2.73855 2.91554 3.89571 0.501218 0.12531
-2.77487 2.88099 3.90824 0.501245 0.125317
-2.81075 2.84599 3.92078 0.501272 0.125235
-2.8462 2.81055 3.9333 0.501014 0.1251
-2.88116 2.7747 3.94581 0.50036 0.125094
-2.91561 2.73847 3.95831 0.499971 0.125065
-2.94961 2.70181 3.97081 0.499957 0.124991
-2.98315 2.66473 3.98331 0.499944 0.124987
-3.01623 2.62724 3.99581 0.499931 0.124984
-3.04883 2.58934 4.00831 0.499918 0.124981
-3.08095 2.55103 4.02081 0.499905 0.124978
-3.11259 2.51233 4.0333 0.499893 0.124974
-3.14374 2.47323 4.0458 0.49988 0.124971
-3.17441 2.43375 4.0583 0.499868 0.124968
-3.20457 2.39389 4.0708 0.499856 0.124965
-3.23424 2.35366 4.08329 0.499845 0.124962
-3.26339 2.31306 4.09579 0.499834 0.124959
-3.29204 2.2721 4.10829 0.499822 0.124956
-3.32018 2.23079 4.12078 0.499812 0.124954
-3.34779 2.18913 4.13328 0.499801 0.124951
-3.37488 2.14713 4.14577 0.49979 0.124948
-3.40145 2.10479 4.15827 0.49978 0.124946
-3.42748 2.06213 4.17076 0.49977 0.124943
-3.45298 2.01915 4.18326 0.49976 0.12494
-3.47793 1.97585 4.19575 0.499751 0.124938
-3.50235 1.93224 4.20824 0.499741 0.124936
-3.52621 1.88833 4.22074 0.499732 0.124933
-3.54953 1.84413 4.23323 0.499723 0.124931
-3.57229 1.79964 4.24573 0.499715 0.124929
-3.5945 1.75488 4.25822 0.499706 0.124927
-3.61614 1.70983 4.27071 0.499698 0.124924
-3.63722 1.66453 4.2832 0.49969 0.124922
-3.65772 1.61896 4.2957 0.499682 0.12492
-3.67766 1.57314 4.30819 0.499674 0.124918
-3.69703 1.52708 4.32068 0.499667 0.124917
-3.71581 1.48078 4.33317 0.49966 0.124915
-3.73402 1.43425 4.34566 0.499653 0.124913
-3.75165 1.38749 4.35816 0.499646 0.124911
-3.76868 1.34052 4.37065 0.49964 0.12491
-3.78513 1.29334 4.38314 0.499633 0.124908
-3.80099 1.24596 4.39563 0.499627 0.124906
-3.81626 1.19839 4.40812 0.499622 0.124905
