x y theta v w
0 0 0 -0.0257736 1.91
0 0 0 -0.00394419 1.91
0 0 0 0.0296526 1.91
0 0 0 0.0770108 1.91
0 0 0 0.151128 1.91
0 0 0 0.232169 1.91
0 0 0 0.353891 1.91
0 0 0 0.494273 1.91
0 0 0 0.639705 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
0 0 0 0.7 1.91
-2.06751e-08 -3.73459e-09 -6.69374e-09 0.7 1.91
-1.18074e-07 -7.63324e-09 -8.49943e-09 0.7 1.91
-7.71405e-08 1.01748e-07 8.24664e-09 0.7 1.91
-3.22775e-08 9.99832e-08 2.41001e-08 0.7 1.91
6.94197e-07 8.25185e-08 3.75594e-10 0.7 1.91
1.08847e-06 -8.91886e-08 -5.66038e-09 0.7 1.91
1.26647e-06 -1.43366e-07 -1.76425e-08 0.7 1.91
1.57816e-06 -2.02305e-07 -3.64103e-09 0.7 1.91
1.88751e-06 -2.02897e-07 5.66623e-08 0.7 1.91
2.09815e-06 -2.98407e-07 1.00964e-08 0.7 1.91
2.33227e-06 -2.58116e-07 -1.09088e-08 0.7 1.91
2.57789e-06 -3.02557e-07 3.57005e-08 0.7 1.91
2.87433e-06 -2.57846e-07 3.27407e-08 0.7 1.91
3.10645e-06 -2.72699e-07 1.94839e-08 0.7 1.91
0.00809495 0.000337892 0.0303183 0.7 1.91
0.0455599 0.00357791 0.139879 0.7 1.91
0.0988435 0.0151645 0.289062 0.7 1.91
0.15632 0.0377516 0.45851 0.7 1.91
0.212725 0.0721528 0.636327 0.7 1.91
0.262787 0.116764 0.818401 0.7 1.91
0.304516 0.170203 0.995563 0.7 1.60915
0.337212 0.230807 1.15014 0.7 0.953926
0.36134 0.294773 1.26399 0.7 0.5784
0.379236 0.360863 1.34165 0.7 0.301501
0.393044 0.428708 1.39098 0.7 0.112775
0.404329 0.496347 1.41675 0.7 -0.00669889
0.414547 0.56488 1.42607 0.7 -0.0678239
0.424453 0.632758 1.42828 0.7 -0.0879569
0.43459 0.701311 1.4228 0.7 -0.0900157
0.444993 0.769117 1.41771 0.7 -0.0724821
0.455829 0.836856 1.41125 0.7 -0.0553294
0.467069 0.904529 1.4045 0.7 -0.0341132
0.478863 0.973528 1.40185 0.7 -0.0115944
0.490621 1.04111 1.39971 0.7 0.00124343
0.502474 1.10868 1.399 0.7 0.0134265
0.51445 1.17694 1.39829 0.7 0.0225572
0.526232 1.24452 1.40115 0.7 0.0321749
0.537992 1.31282 1.40237 0.7 0.0334872
0.549447 1.38045 1.40538 0.7 0.0392173
0.56068 1.44813 1.41012 0.7 0.040991
0.571669 1.51584 1.41387 0.7 0.0390197
0.58251 1.58429 1.41767 0.7 0.0399162
0.59298 1.65209 1.42159 0.7 0.0411793
0.603287 1.72061 1.42561 0.7 0.0427014
0.613212 1.78849 1.42974 0.7 0.0444807
0.622948 1.85711 1.43282 0.7 0.0466066
0.632283 1.92507 1.43863 0.7 0.0518291
0.64139 1.99377 1.44345 0.7 0.0512439
0.65007 2.06182 1.44847 0.7 0.0536852
0.658404 2.12991 1.45364 0.7 0.056406
0.666456 2.19874 1.45912 0.7 0.0595278
0.674045 2.26692 1.46483 0.7 0.0628071
0.681234 2.33514 1.47086 0.7 0.0664286
0.688067 2.4041 1.47601 0.7 0.0702919
0.694381 2.47241 1.48404 0.7 0.0771912
0.700274 2.54146 1.49005 0.7 0.0785649
0.705598 2.60986 1.49892 0.7 0.0856886
0.710431 2.67899 1.50579 0.7 0.0875724
0.714647 2.74746 1.51555 0.7 0.0952734
0.718262 2.81596 1.52455 0.7 0.0978638
0.721246 2.8845 1.53278 0.7 0.103616
0.723585 2.95376 1.54402 0.7 0.112629
0.725191 3.02234 1.55466 0.7 0.116761
0.726051 3.09164 1.56597 0.7 0.12392
0.726106 3.16024 1.57785 0.7 0.131595
0.725311 3.22953 1.59054 0.7 0.139909
0.723628 3.29811 1.60389 0.7 0.148714
0.721 3.36666 1.61806 0.7 0.15818
0.71737 3.43517 1.63312 0.7 0.168205
0.712622 3.5043 1.64801 0.7 0.178776
0.706782 3.57266 1.66641 0.7 0.192472
0.699735 3.64089 1.68462 0.7 0.201237
0.691317 3.70968 1.70403 0.7 0.213235
0.68163 3.77759 1.72438 0.7 0.225929
0.670404 3.84598 1.74593 0.7 0.239483
0.657785 3.91341 1.76894 0.7 0.254106
0.643424 3.98121 1.79209 0.7 0.268874
0.627531 4.04794 1.81912 0.7 0.287414
0.609682 4.1149 1.84539 0.7 0.301534
0.590148 4.18066 1.87555 0.7 0.321974
0.568667 4.24582 1.90617 0.7 0.33865
0.544892 4.31091 1.93879 0.7 0.359636
0.518938 4.37517 1.97347 0.7 0.382973
0.490997 4.43782 2.00911 0.7 0.408889
0.460375 4.49999 2.04819 0.7 0.439884
0.427244 4.56086 2.09179 0.7 0.473645
0.392712 4.61825 2.13601 0.630049 0.493999
0.357503 4.67115 2.18194 0.524175 0.500846
0.324669 4.71573 2.23129 0.431402 0.49874
0.294377 4.75293 2.27858 0.34936 0.48574
0.267714 4.7826 2.32663 0.279559 0.471605
0.245006 4.80555 2.37312 0.222672 0.451281
0.225703 4.82334 2.41786 0.179243 0.429112
0.209551 4.83693 2.46201 0.14706 0.406394
0.195956 4.84749 2.50276 0.124302 0.38199
0.184109 4.85596 2.54164 0.110041 0.361041
0.17368 4.86284 2.57715 0.101647 0.341781
0.164248 4.8686 2.61176 0.0986819 0.326827
0.15524 4.87368 2.64597 0.0990975 0.312645
0.146244 4.87838 2.67764 0.101469 0.298782
0.137189 4.88277 2.70771 0.105648 0.288737
0.127798 4.88698 2.73666 0.111036 0.281115
0.117827 4.8911 2.76504 0.116878 0.275264
0.107391 4.89509 2.79244 0.122521 0.270438
0.0963531 4.89896 2.81932 0.128211 0.267205
0.0845793 4.90274 2.846 0.133535 0.264896
0.0723254 4.90632 2.87218 0.138155 0.263062
0.0593968 4.90973 2.89834 0.142533 0.262079
0.046092 4.91287 2.92415 0.146206 0.261241
0.0321794 4.91578 2.94876 0.149711 0.260973
0.0179737 4.91837 2.97573 0.152825 0.262689
0.00338852 4.92064 3.00033 0.155302 0.260688
-0.0116876 4.9226 3.02729 0.157934 0.26242
-0.0270667 4.92419 3.05319 0.159634 0.26049
-0.0426878 4.92539 3.07771 0.161319 0.260213
-0.05836 4.9262 3.10459 0.163089 0.262053
-0.0743858 4.92661 3.13044 0.164638 0.26012
-0.0904139 4.92661 3.15597 0.166015 0.259798
-0.106754 4.92619 3.18173 0.167634 0.25986
-0.123066 4.92535 3.20723 0.168922 0.259544
-0.139662 4.92408 3.23162 0.170457 0.25951
-0.156359 4.92236 3.25842 0.171828 0.261184
-0.172972 4.92022 3.28414 0.172914 0.258976
-0.189819 4.91761 3.30851 0.174388 0.25832
-0.206559 4.91457 3.33522 0.175734 0.259713
-0.223519 4.91105 3.35954 0.177139 0.257283
-0.240346 4.9071 3.38594 0.178489 0.258515
-0.257198 4.9027 3.41144 0.179959 0.256311
-0.274064 4.89784 3.43555 0.181522 0.255367
-0.291117 4.89245 3.46176 0.183202 0.256471
-0.307997 4.88664 3.48706 0.184472 0.25413
-0.325036 4.8803 3.51099 0.1861 0.253018
-0.34188 4.87354 3.53718 0.187534 0.253943
-0.358688 4.86631 3.56204 0.189166 0.251054
-0.375617 4.85852 3.58695 0.190895 0.250074
-0.392323 4.85032 3.61149 0.192366 0.248834
-0.408961 4.84165 3.63597 0.19417 0.24792
-0.425696 4.8324 3.65926 0.196017 0.246881
-0.442185 4.82275 3.68487 0.197617 0.24752
-0.458581 4.81262 3.70904 0.199488 0.244181
-0.475033 4.80189 3.73331 0.201431 0.242873
-0.491209 4.79077 3.75718 0.203111 0.241165
-0.507423 4.77905 3.77984 0.205141 0.239769
-0.523332 4.76697 3.80475 0.206912 0.240047
-0.539102 4.75439 3.82825 0.209043 0.236394
-0.554887 4.74118 3.85174 0.211226 0.234667
-0.570353 4.72761 3.87483 0.213118 0.232668
-0.585803 4.71342 3.89796 0.215381 0.230938
-0.600921 4.69888 3.9207 0.217371 0.228834
-0.616 4.6837 3.94343 0.219735 0.226961
-0.630881 4.66802 3.96468 0.221827 0.22478
-0.645409 4.65202 3.98814 0.223946 0.224602
-0.659722 4.63553 4.01013 0.226489 0.220456
-0.673956 4.61839 4.0308 0.229076 0.218287
-0.687824 4.60093 4.05364 0.231351 0.217899
-0.701457 4.58299 4.07503 0.23406 0.213554
-0.714988 4.56437 4.0963 0.2368 0.211159
-0.728144 4.54544 4.11714 0.239222 0.208572
-0.741176 4.52584 4.13789 0.242019 0.206233
-0.753809 4.50595 4.15821 0.244498 0.203652
-0.76617 4.4856 4.17719 0.247395 0.201308
-0.77838 4.46456 4.19837 0.250317 0.200709
-0.790299 4.44305 4.21826 0.252973 0.196133
-0.801805 4.42128 4.23763 0.255646 0.193233
-0.813016 4.39904 4.25671 0.25874 0.190695
-0.824035 4.37611 4.27572 0.261878 0.188185
-0.834636 4.35294 4.29431 0.264674 0.185389
-0.845027 4.32908 4.31148 0.267898 0.182819
-0.854992 4.305 4.33086 0.270725 0.182165
-0.864631 4.28047 4.34873 0.274083 0.177397
-0.87404 4.25521 4.36514 0.277445 0.174665
-0.883021 4.22975 4.38261 0.280365 0.173947
-0.891741 4.20359 4.40101 0.283769 0.170992
-0.900027 4.17726 4.41785 0.286859 0.166088
-0.907963 4.15048 4.43318 0.29036 0.163288
-0.915622 4.12299 4.45068 0.293856 0.162563
-0.92285 4.09533 4.46666 0.297035 0.157815
-0.929788 4.06694 4.48243 0.300612 0.155153
-0.936353 4.03813 4.49665 0.303771 0.152418
-0.942481 4.0092 4.51305 0.306916 0.151874
-0.948292 3.97957 4.52797 0.310659 0.147197
-0.953668 3.94983 4.54142 0.313947 0.14462
-0.95867 3.91968 4.55707 0.317693 0.144083
-0.963296 3.8891 4.57004 0.321551 0.139409
-0.967584 3.85778 4.58521 0.325318 0.13884
-0.97148 3.82604 4.59769 0.328687 0.134187
-0.974948 3.79424 4.61234 0.331984 0.133671
-0.978056 3.76172 4.62561 0.335877 0.129044
-0.980742 3.72916 4.63844 0.339273 0.126396
-0.983039 3.6962 4.64981 0.343195 0.124078
-0.984964 3.6625 4.66215 0.347079 0.123853
-0.986476 3.62876 4.67562 0.350478 0.121629
-0.987592 3.59464 4.68757 0.354448 0.117066
-0.988319 3.55979 4.69806 0.358385 0.114722
-0.988643 3.52493 4.70961 0.361746 0.11455
-0.988567 3.48934 4.72215 0.36569 0.112167
-0.988091 3.45373 4.73318 0.369133 0.107709
-0.987209 3.41741 4.74274 0.373052 0.105503
-0.985941 3.38111 4.75453 0.376402 0.105488
-0.984277 3.34447 4.76487 0.380385 0.101249
-0.98222 3.30749 4.77497 0.38434 0.0991784
-0.979742 3.26976 4.7849 0.388301 0.0971956
-0.976894 3.23205 4.79453 0.391647 0.0951827
-0.973623 3.19363 4.80277 0.395516 0.0933495
-0.969994 3.15528 4.81206 0.398773 0.0936351
-0.965974 3.11661 4.82253 0.402647 0.0917539
-0.961516 3.07724 4.83035 0.406564 0.087477
-0.956713 3.03794 4.84041 0.409815 0.0875576
-0.951467 2.99793 4.84779 0.413713 0.083361
-0.945886 2.958 4.85744 0.416906 0.0835772
-0.939925 2.91779 4.86563 0.420746 0.0794839
-0.933519 2.87686 4.87365 0.424557 0.0776567
-0.926802 2.83604 4.88139 0.42771 0.0758488
-0.919642 2.79453 4.88773 0.431451 0.0742309
-0.912187 2.75316 4.89641 0.434533 0.0748365
-0.904281 2.71108 4.90377 0.438284 0.0709697
-0.896006 2.66872 4.90964 0.441329 0.0691946
-0.887457 2.62653 4.91784 0.444311 0.0698017
-0.878552 2.5841 4.92465 0.447997 0.0659425
-0.869198 2.54097 4.93131 0.451648 0.0643045
-0.859486 2.49756 4.9365 0.454609 0.0626776
-0.849525 2.45433 4.94405 0.457473 0.0634224
-0.839118 2.41043 4.95022 0.461025 0.0596468
-0.828479 2.36673 4.95624 0.46385 0.0581088
-0.817397 2.32235 4.96081 0.467329 0.0565762
-0.806096 2.27819 4.96776 0.470066 0.057408
-0.794354 2.23335 4.97212 0.473491 0.0536892
-0.782404 2.18873 4.97882 0.476151 0.0544177
-0.770134 2.14387 4.98411 0.479492 0.0506379
-0.757552 2.0988 4.98798 0.482749 0.0491605
-0.744526 2.05303 4.99421 0.485924 0.0500408
-0.731322 2.00749 4.99907 0.488344 0.0463836
-0.717687 1.96128 5.00379 0.491373 0.0449791
-0.703899 1.91534 5.00829 0.493638 0.0436173
-0.689686 1.86874 5.01141 0.496562 0.0423966
-0.67534 1.82242 5.01695 0.498682 0.0434926
-0.660576 1.77546 5.02118 0.501518 0.0399166
-0.645694 1.72879 5.0252 0.503572 0.0385338
-0.630557 1.68196 5.02907 0.506306 0.0373046
-0.615006 1.63448 5.03157 0.508999 0.0361231
-0.59936 1.58729 5.03648 0.510851 0.0372496
-0.583307 1.53946 5.04009 0.513399 0.0337201
-0.567181 1.49196 5.04226 0.515115 0.0323734
-0.550663 1.44384 5.04683 0.51752 0.0334567
-0.533916 1.39558 5.04881 0.519145 0.0298992
-0.517129 1.34768 5.05316 0.520674 0.0309165
-0.499962 1.29918 5.0549 0.522966 0.0273242
-0.482764 1.25103 5.059 0.52442 0.0283677
-0.465193 1.20228 5.06049 0.5266 0.024805
-0.447612 1.1539 5.06311 0.527921 0.0258843
-0.429668 1.10491 5.06692 0.529965 0.0246566
-0.411725 1.0563 5.06807 0.531176 0.0210301
-0.393617 1.00759 5.07032 0.533066 0.0220993
-0.375155 0.958266 5.07251 0.534907 0.0209512
-0.356717 0.909322 5.07459 0.535856 0.0196923
-0.33794 0.859787 5.07783 0.537488 0.0184347
-0.319213 0.810664 5.07839 0.538258 0.0148192
-0.300168 0.760964 5.0813 0.539731 0.0159814
-0.281 0.711184 5.08159 0.540352 0.0125805
-0.261922 0.661854 5.08426 0.540885 0.0138724
-0.242551 0.611969 5.08431 0.542181 0.0105191
-0.223281 0.562526 5.08677 0.542616 0.0118601
-0.203729 0.51253 5.08662 0.543787 0.00852716
-0.184292 0.462983 5.08887 0.544086 0.00986604
-0.164784 0.413392 5.08978 0.545111 0.00652072
-0.145006 0.363237 5.09054 0.546062 0.00549112
-0.125366 0.313532 5.09115 0.546105 0.0045626
