time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
0.0,1.829019794723413e-11,-9.551678317708834e-20,0.0,0.0,0.0,-5.381984814363243e-10,1.0,2.0541506142539848e-11,0.0,0.0,0.0,0.0,-3.7506946853412645e-10
0.01,1.824530139477265e-11,-9.546833909696614e-20,0.0,0.0,0.0,-5.392490260399868e-10,1.0,-3.687002279853496e-11,0.0,0.0,0.0,0.0,-5.7001461735312894e-11
0.02,1.802293014366109e-11,-9.522845854035703e-20,0.0,0.0,0.0,-5.392666207531368e-10,1.0,-7.485386459181106e-12,0.0,0.0,0.0,0.0,4.953192566775401e-11
0.03,1.808651798260868e-11,-9.529701634874342e-20,0.0,0.0,0.0,-5.391033187224873e-10,1.0,2.012404683830269e-11,0.0,0.0,0.0,0.0,1.620976361895604e-11
0.04,1.8259599266295038e-11,-9.548351808134988e-20,0.0,0.0,0.0,-5.383371708831259e-10,1.0,1.3837415912440323e-11,0.0,0.0,0.0,0.0,2.864115982397901e-10
0.05,1.8236238829625648e-11,-9.545847894859103e-20,0.0,0.0,0.0,-5.371972245518721e-10,1.0,-1.8066861840233383e-11,0.0,0.0,0.0,0.0,1.712149184143647e-10
0.06,1.8164497916037866e-11,-9.538144719876209e-20,0.0,0.0,0.0,-5.363641780311661e-10,1.0,3.441295227911912e-12,0.0,0.0,0.0,0.0,1.6463238439904597e-10
0.07,1.835662335310331e-11,-9.558757161793169e-20,0.0,0.0,0.0,-5.364796178941664e-10,1.0,3.489079186792543e-11,0.0,0.0,0.0,0.0,-2.1073207553252998e-10
0.08,1.867156090461869e-11,-9.592596367665282e-20,0.0,0.0,0.0,-5.375050289499883e-10,1.0,3.638562517046607e-11,0.0,0.0,0.0,0.0,-2.5692908421331357e-10
0.09,1.8807911491992598e-11,-9.607273097396974e-20,0.0,0.0,0.0,-5.380276980359081e-10,1.0,-1.0162767307307706e-11,0.0,0.0,0.0,0.0,5.6567703374820206e-11
0.1,1.8603532753436345e-11,-9.585285108144762e-20,0.0,0.0,0.0,-5.379346130935214e-10,1.0,-3.0289800218787767e-11,0.0,0.0,0.0,0.0,-1.9027958216127752e-11
0.11,1.860239721097202e-11,-9.58514820038227e-20,0.0,0.0,0.0,-5.374875806139702e-10,1.0,2.944590377160208e-11,0.0,0.0,0.0,0.0,1.9745348576352774e-10
0.12,1.874888555547281e-11,-9.60088079088998e-20,0.0,0.0,0.0,-5.369638675476684e-10,1.0,-6.931539786001362e-13,0.0,0.0,0.0,0.0,9.31324830923332e-12
0.13,1.8575720425742743e-11,-9.58228709988887e-20,0.0,0.0,0.0,-5.368761691824238e-10,1.0,-3.3438958666806986e-11,0.0,0.0,0.0,0.0,2.5519763845005704e-11
0.14,1.8365021820596735e-11,-9.559668652857587e-20,0.0,0.0,0.0,-5.365187012351733e-10,1.0,-1.1459395156156893e-11,0.0,0.0,0.0,0.0,1.4660453351682929e-10
0.15,1.8369368778397488e-11,-9.560133966585291e-20,0.0,0.0,0.0,-5.360873801769424e-10,1.0,1.219542200271554e-11,0.0,0.0,0.0,0.0,2.6307290619541548e-11
0.16,1.8478491623318963e-11,-9.571829847627596e-20,0.0,0.0,0.0,-5.35757540488304e-10,1.0,9.549911548609599e-12,0.0,0.0,0.0,0.0,1.0399314441330528e-10
0.17,1.852184588305846e-11,-9.576473258728297e-20,0.0,0.0,0.0,-5.352906835375074e-10,1.0,-6.442571399946227e-13,0.0,0.0,0.0,0.0,8.530650212142344e-11
0.18,1.8514905979065863e-11,-9.575730724029615e-20,0.0,0.0,0.0,-5.348781217713748e-10,1.0,-7.163793305144762e-13,0.0,0.0,0.0,0.0,8.51742969738808e-11
0.19,1.836385922388298e-11,-9.559564149626145e-20,0.0,0.0,0.0,-5.352402766000819e-10,1.0,-1.5548684457931052e-11,0.0,0.0,0.0,0.0,-7.773645121246415e-11
0.2,1.841847102615849e-11,-9.565412083720745e-20,0.0,0.0,0.0,-5.354435314509812e-10,1.0,6.635622397265405e-12,0.0,0.0,0.0,0.0,-4.286410580204104e-11
0.21,1.8204205536527543e-11,-9.542469094925746e-20,0.0,0.0,0.0,-5.353680717329157e-10,1.0,-2.1595373405724545e-11,0.0,0.0,0.0,0.0,1.5453810496514398e-11
0.22,1.7970946690725432e-11,-9.517440568019977e-20,0.0,0.0,0.0,-5.368739506722876e-10,1.0,-2.337374959445905e-11,0.0,0.0,0.0,0.0,-3.0353556157946446e-10
0.23,1.7826829641515352e-11,-9.501950307664192e-20,0.0,0.0,0.0,-5.375970122553352e-10,1.0,-1.451565739556532e-11,0.0,0.0,0.0,0.0,-1.4512956754266448e-10
0.24,1.7597992867070483e-11,-9.47731260303236e-20,0.0,0.0,0.0,-5.385738479236021e-10,1.0,-2.263004901750792e-11,0.0,0.0,0.0,0.0,-1.9279428194374618e-10
0.25,1.7463749997960674e-11,-9.462857675863486e-20,0.0,0.0,0.0,-5.383248206888654e-10,1.0,-1.3354506670064888e-11,0.0,0.0,0.0,0.0,4.96162240560302e-11
0.26,1.7270284718470095e-11,-9.442033406916615e-20,0.0,0.0,0.0,-5.381470791548716e-10,1.0,-1.935948791555441e-11,0.0,0.0,0.0,0.0,3.551091514427022e-11
0.27,1.7261015482483596e-11,-9.441035667084541e-20,0.0,0.0,0.0,-5.382164473922024e-10,1.0,-1.040728888646827e-12,0.0,0.0,0.0,0.0,-1.5577018138253695e-11
0.28,1.6610172828590613e-11,-9.371051337164101e-20,0.0,0.0,0.0,-5.37457105765264e-10,1.0,-6.561691401452682e-11,0.0,0.0,0.0,0.0,1.5323861935230932e-10
0.29,1.6644410082769123e-11,-9.374731821912365e-20,0.0,0.0,0.0,-5.375041042318676e-10,1.0,3.948874219900512e-12,0.0,0.0,0.0,0.0,-1.0624804899717986e-11
0.3,1.6642766912698577e-11,-9.374555177692185e-20,0.0,0.0,0.0,-5.375125235702364e-10,1.0,-1.6624950899812459e-13,0.0,0.0,0.0,0.0,-1.7036713301770025e-12
0.31,1.683791170465761e-11,-9.395534228164443e-20,0.0,0.0,0.0,-5.375293313784846e-10,1.0,1.9738993244566037e-11,0.0,0.0,0.0,0.0,-3.3830742663684164e-12
0.32,1.6824546066965376e-11,-9.394097321092554e-20,0.0,0.0,0.0,-5.375357352304119e-10,1.0,-1.6457803633257957e-12,0.0,0.0,0.0,0.0,-1.2935007690094463e-12
0.33,1.6585984817647036e-11,-9.368447637298959e-20,0.0,0.0,0.0,-5.376089521828415e-10,1.0,-2.683100611565825e-11,0.0,0.0,0.0,0.0,-1.6469435032065013e-11
0.34,1.6651960566498254e-11,-9.375536192751869e-20,0.0,0.0,0.0,-5.370921542609371e-10,1.0,6.8147098226749416e-12,0.0,0.0,0.0,0.0,1.038181566708612e-10
0.35000000000000003,1.6474239355220058e-11,-9.356448241599796e-20,0.0,0.0,0.0,-5.369964806023254e-10,1.0,-1.794193938183776e-11,0.0,0.0,0.0,0.0,1.895165892143757e-11
0.36,1.6597710709314622e-11,-9.369725324026561e-20,0.0,0.0,0.0,-5.378676236188029e-10,1.0,1.2521723416999347e-11,0.0,0.0,0.0,0.0,-1.7476156613325103e-10
0.37,1.6938997274175742e-11,-9.406422570595873e-20,0.0,0.0,0.0,-5.375511458314537e-10,1.0,3.408715249807962e-11,0.0,0.0,0.0,0.0,6.366195819811638e-11
